Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
295	90	334.38	0.0029906	7.0179	11.336	40.199	31.503	48.609	1214.6	-0.42085	46.226	0.13206	0.00194436386829	0.00312793648999
296.65	90	333.31	0.0030002	7.0842	11.416	40.47	31.534	48.626	1211	-0.41924	45.957	0.13155	0.001943301143	0.00315466213162
298.3	90	332.25	0.0030098	7.1506	11.496	40.74	31.565	48.642	1207.6	-0.41764	45.693	0.13105	0.00194187860461	0.00318049290738
299.95	90	331.18	0.0030195	7.2169	11.577	41.008	31.598	48.66	1204.1	-0.41604	45.434	0.13056	0.00194065879036	0.00320717970649
301.6	90	330.13	0.0030291	7.2832	11.657	41.275	31.631	48.678	1200.7	-0.41444	45.179	0.13007	0.00193931751339	0.00323344732981
303.25	90	329.07	0.0030388	7.3495	11.737	41.541	31.666	48.697	1197.4	-0.41284	44.929	0.1296	0.00193777892703	0.00325943407063
304.9	90	328.02	0.0030486	7.4159	11.818	41.805	31.702	48.716	1194.1	-0.41124	44.684	0.12913	0.00193615631247	0.00328551337276
306.55	90	326.98	0.0030583	7.4822	11.898	42.068	31.738	48.736	1190.8	-0.40965	44.442	0.12867	0.00193467700375	0.00331185629797
308.2	90	325.93	0.0030681	7.5485	11.978	42.33	31.776	48.757	1187.5	-0.40806	44.206	0.12822	0.00193316161774	0.00333845998981
309.85	90	324.9	0.0030779	7.6148	12.059	42.59	31.814	48.778	1184.3	-0.40648	43.973	0.12778	0.00193148757015	0.00336459304395
311.5	90	323.86	0.0030877	7.6811	12.139	42.849	31.854	48.8	1181.1	-0.4049	43.744	0.12735	0.00192980817559	0.00339097974545
313.15	90	322.83	0.0030976	7.7475	12.22	43.107	31.894	48.823	1178	-0.40332	43.519	0.12693	0.00192804335981	0.00341704741287
314.8	90	321.81	0.0031074	7.8138	12.3	43.364	31.936	48.846	1174.9	-0.40175	43.299	0.12652	0.00192616705295	0.00344308022923
316.45	90	320.79	0.0031173	7.8801	12.381	43.619	31.978	48.869	1171.8	-0.40018	43.082	0.12611	0.00192432100838	0.00346939976825
318.1	90	319.77	0.0031272	7.9465	12.462	43.873	32.022	48.894	1168.7	-0.39862	42.868	0.12571	0.001922515246	0.00349593468446
319.75	90	318.76	0.0031372	8.0128	12.542	44.126	32.066	48.918	1165.7	-0.39706	42.659	0.12532	0.00192046815273	0.0035219768205
321.4	90	317.75	0.0031471	8.0792	12.623	44.378	32.111	48.944	1162.8	-0.39551	42.453	0.12494	0.00191841288762	0.00354772561505
323.05	90	316.75	0.0031571	8.1456	12.704	44.629	32.157	48.97	1159.8	-0.39397	42.25	0.12457	0.00191643438804	0.00357414153127
324.7	90	315.75	0.0031671	8.212	12.785	44.878	32.204	48.996	1156.9	-0.39243	42.051	0.1242	0.00191426298226	0.00360011029803
326.35	90	314.75	0.0031771	8.2784	12.866	45.127	32.251	49.023	1154.1	-0.3909	41.856	0.12384	0.00191206095367	0.00362580195351
328	90	313.76	0.0031871	8.3448	12.947	45.374	32.3	49.051	1151.2	-0.38938	41.663	0.12349	0.00190995538395	0.00365212980737
329.65	90	312.78	0.0031972	8.4113	13.028	45.62	32.349	49.079	1148.4	-0.38786	41.474	0.12315	0.00190768118739	0.00367798117763
331.3	90	311.79	0.0032072	8.4777	13.109	45.865	32.399	49.108	1145.6	-0.38635	41.288	0.12281	0.00190551438684	0.00370418312908
332.95	90	310.82	0.0032173	8.5442	13.19	46.109	32.45	49.137	1142.9	-0.38485	41.105	0.12249	0.00190306060378	0.00372965374904
334.6	90	309.84	0.0032275	8.6107	13.271	46.352	32.502	49.167	1140.2	-0.38336	40.926	0.12217	0.00190065422773	0.00375546800796
336.25	90	308.87	0.0032376	8.6772	13.352	46.594	32.555	49.198	1137.5	-0.38187	40.749	0.12185	0.00189829273966	0.00378138772197
337.9	90	307.91	0.0032477	8.7438	13.433	46.835	32.608	49.229	1134.9	-0.38039	40.575	0.12155	0.00189578890209	0.00380678076178
339.55	90	306.95	0.0032579	8.8103	13.514	47.075	32.662	49.26	1132.2	-0.37892	40.404	0.12125	0.00189339184589	0.00383299007065
341.2	90	305.99	0.0032681	8.8769	13.596	47.314	32.717	49.292	1129.7	-0.37746	40.236	0.12096	0.00189070530865	0.00385806441719
342.85	90	305.04	0.0032783	8.9436	13.677	47.552	32.773	49.325	1127.1	-0.37601	40.071	0.12067	0.00188819974471	0.00388391041546
344.5	90	304.09	0.0032885	9.0102	13.758	47.789	32.829	49.358	1124.6	-0.37457	39.908	0.1204	0.0018855804749	0.00390932343321
346.15	90	303.14	0.0032988	9.0769	13.84	48.025	32.886	49.391	1122.1	-0.37314	39.748	0.12012	0.00188290027448	0.00393487006373
347.8	90	302.21	0.003309	9.1436	13.921	48.26	32.944	49.425	1119.6	-0.37172	39.591	0.11986	0.00188023006959	0.00396036978309
349.45	90	301.27	0.0033193	9.2104	14.003	48.494	33.002	49.46	1117.2	-0.3703	39.436	0.1196	0.00187752326134	0.00398562202863
351.1	90	300.34	0.0033296	9.2771	14.085	48.727	33.062	49.495	1114.8	-0.3689	39.284	0.11935	0.00187466665319	0.00401074555196
352.75	90	299.41	0.0033399	9.3439	14.166	48.959	33.122	49.53	1112.5	-0.36751	39.134	0.11911	0.00187169385846	0.00403538926722
354.4	90	298.49	0.0033502	9.4108	14.248	49.19	33.182	49.566	1110.1	-0.36612	38.987	0.11887	0.00186898546744	0.00406094700721
356.05	90	297.57	0.0033605	9.4777	14.33	49.42	33.243	49.603	1107.8	-0.36475	38.842	0.11864	0.00186615045853	0.00408597652631
357.7	90	296.66	0.0033709	9.5446	14.412	49.65	33.305	49.64	1105.5	-0.36339	38.699	0.11841	0.00186322201313	0.00411098458794
359.35	90	295.75	0.0033813	9.6116	14.494	49.878	33.368	49.677	1103.3	-0.36204	38.559	0.1182	0.00186009062614	0.00413535877856
361	90	294.84	0.0033917	9.6786	14.576	50.106	33.431	49.715	1101	-0.36069	38.421	0.11798	0.00185725384236	0.00416080186778
362.65	90	293.94	0.0034021	9.7456	14.658	50.333	33.494	49.753	1098.9	-0.35936	38.285	0.11778	0.00185409791174	0.0041848242178
364.3	90	293.04	0.0034125	9.8127	14.74	50.559	33.559	49.792	1096.7	-0.35804	38.151	0.11758	0.0018510663235	0.00420966917448
365.95	90	292.15	0.0034229	9.8798	14.822	50.784	33.624	49.831	1094.5	-0.35674	38.02	0.11738	0.00184805228303	0.00423460399747
367.6	90	291.26	0.0034333	9.947	14.904	51.008	33.689	49.871	1092.4	-0.35544	37.891	0.11719	0.0018449935494	0.00425907932319
369.25	90	290.38	0.0034438	10.014	14.987	51.232	33.755	49.911	1090.3	-0.35415	37.763	0.11701	0.00184184018377	0.00428350653618
370.9	90	289.5	0.0034543	10.081	15.069	51.454	33.822	49.952	1088.3	-0.35288	37.638	0.11683	0.00183855718799	0.0043073262696
372.55	90	288.62	0.0034648	10.149	15.151	51.676	33.889	49.993	1086.3	-0.35161	37.515	0.11666	0.00183532195959	0.00433136181602
374.2	90	287.75	0.0034753	10.216	15.234	51.897	33.957	50.034	1084.3	-0.35036	37.393	0.11649	0.00183201832076	0.0043553359668
375.85	90	286.88	0.0034858	10.284	15.317	52.117	34.025	50.076	1082.3	-0.34912	37.274	0.11633	0.00182883703829	0.00437961473007
377.5	90	286.02	0.0034963	10.351	15.399	52.337	34.094	50.118	1080.3	-0.34789	37.156	0.11618	0.00182558674054	0.00440383075871
379.15	90	285.16	0.0035068	10.419	15.482	52.555	34.164	50.161	1078.4	-0.34668	37.041	0.11603	0.00182220533954	0.00442740354332
380.8	90	284.3	0.0035174	10.486	15.565	52.773	34.233	50.204	1076.5	-0.34547	36.927	0.11588	0.00181892771023	0.00445131606927
382.45	90	283.45	0.0035279	10.554	15.648	52.99	34.304	50.248	1074.6	-0.34428	36.815	0.11575	0.00181559775036	0.00447511173124
384.1	90	282.6	0.0035385	10.621	15.731	53.207	34.375	50.292	1072.8	-0.3431	36.705	0.11561	0.00181211864327	0.00449828028797
385.75	90	281.76	0.0035491	10.689	15.814	53.422	34.446	50.336	1070.9	-0.34192	36.596	0.11548	0.00180882163762	0.004522334975
387.4	90	280.92	0.0035597	10.757	15.897	53.637	34.518	50.381	1069.1	-0.34077	36.489	0.11536	0.00180539232629	0.00454571119703
389.05	90	280.09	0.0035703	10.825	15.98	53.852	34.59	50.426	1067.4	-0.33962	36.384	0.11524	0.00180180661779	0.00456827202714
390.7	90	279.26	0.0035809	10.893	16.063	54.065	34.663	50.472	1065.6	-0.33849	36.281	0.11513	0.00179842578218	0.00459184489525
392.35	90	278.43	0.0035916	10.961	16.146	54.278	34.736	50.518	1063.9	-0.33736	36.179	0.11502	0.00179489511548	0.00461475551279
394	90	277.61	0.0036022	11.029	16.23	54.49	34.81	50.564	1062.2	-0.33625	36.079	0.11492	0.00179131831259	0.00463756168291
395.65	90	276.79	0.0036129	11.097	16.313	54.701	34.884	50.611	1060.5	-0.33515	35.98	0.11482	0.0017878346698	0.00466065439141
397.3	90	275.97	0.0036235	11.165	16.397	54.912	34.958	50.658	1058.8	-0.33407	35.883	0.11472	0.00178441879806	0.00468394430921
398.95	90	275.16	0.0036342	11.233	16.48	55.122	35.033	50.705	1057.2	-0.33299	35.788	0.11463	0.00178073791773	0.00470623758919
400.6	90	274.36	0.0036449	11.301	16.564	55.332	35.109	50.753	1055.6	-0.33193	35.694	0.11455	0.00177705958689	0.00472850335344
402.25	90	273.56	0.0036556	11.37	16.648	55.54	35.184	50.801	1054	-0.33088	35.601	0.11447	0.00177350565712	0.00475108972789
403.9	90	272.76	0.0036663	11.438	16.732	55.748	35.26	50.85	1052.4	-0.32984	35.51	0.11439	0.00176998584573	0.00477382273784
405.55	90	271.96	0.003677	11.507	16.816	55.956	35.337	50.899	1050.9	-0.32881	35.42	0.11432	0.00176625776264	0.004795697232
407.2	90	271.17	0.0036877	11.575	16.9	56.163	35.414	50.948	1049.4	-0.32779	35.332	0.11425	0.00176253881429	0.00481757402242
408.85	90	270.38	0.0036984	11.644	16.984	56.369	35.491	50.998	1047.9	-0.32679	35.245	0.11419	0.00175893504388	0.00483972476369
410.5	90	269.6	0.0037092	11.713	17.068	56.574	35.569	51.047	1046.4	-0.3258	35.16	0.11413	0.00175516052085	0.0048616447252
412.15	90	268.82	0.0037199	11.781	17.152	56.779	35.647	51.098	1044.9	-0.32482	35.075	0.11408	0.00175159811608	0.00488393506095
413.8	90	268.05	0.0037307	11.85	17.237	56.983	35.725	51.148	1043.5	-0.32385	34.992	0.11403	0.00174777849074	0.00490518849176
415.45	90	267.28	0.0037414	11.919	17.321	57.187	35.804	51.199	1042.1	-0.32289	34.911	0.11398	0.00174401513413	0.00492657020173
417.1	90	266.51	0.0037522	11.988	17.406	57.39	35.882	51.251	1040.7	-0.32195	34.831	0.11394	0.00174042286389	0.00494835767317
418.75	90	265.75	0.003763	12.057	17.49	57.592	35.962	51.302	1039.3	-0.32101	34.752	0.1139	0.00173660218857	0.00496975903434
420.4	90	264.99	0.0037738	12.126	17.575	57.794	36.041	51.354	1038	-0.32009	34.674	0.11387	0.00173280818624	0.00499060562879
422.05	90	264.23	0.0037846	12.195	17.66	57.996	36.121	51.406	1036.6	-0.31918	34.597	0.11384	0.00172913957501	0.00501244376171
423.7	90	263.48	0.0037954	12.265	17.745	58.196	36.202	51.459	1035.3	-0.31828	34.522	0.11381	0.0017253032074	0.00503325224018
425.35	90	262.73	0.0038062	12.334	17.829	58.396	36.282	51.512	1034	-0.31739	34.448	0.11379	0.00172158580442	0.00505436323738
427	90	261.99	0.003817	12.403	17.915	58.596	36.363	51.565	1032.7	-0.31651	34.375	0.11377	0.00171779362893	0.00507530617983
428.65	90	261.25	0.0038278	12.473	18	58.795	36.444	51.619	1031.5	-0.31565	34.303	0.11376	0.00171394636303	0.00509552322164
430.3	90	260.51	0.0038386	12.542	18.085	58.993	36.526	51.673	1030.3	-0.3148	34.232	0.11375	0.00171005708852	0.00511575530128
431.95	90	259.78	0.0038495	12.612	18.17	59.191	36.607	51.727	1029	-0.31395	34.163	0.11374	0.00170639612804	0.00513708427199
433.6	90	259.05	0.0038603	12.682	18.256	59.388	36.689	51.781	1027.8	-0.31312	34.094	0.11374	0.00170254899314	0.00515743466833
435.25	90	258.32	0.0038712	12.752	18.341	59.585	36.771	51.836	1026.6	-0.3123	34.027	0.11374	0.00169878976309	0.00517804104338
436.9	90	257.6	0.003882	12.822	18.427	59.781	36.854	51.891	1025.5	-0.31149	33.96	0.11374	0.0016948116463	0.00519744880882
438.55	90	256.88	0.0038929	12.892	18.512	59.977	36.937	51.946	1024.3	-0.31069	33.895	0.11375	0.00169101376019	0.00521802137474
440.2	90	256.16	0.0039037	12.962	18.598	60.172	37.02	52.002	1023.2	-0.3099	33.831	0.11376	0.00168718150068	0.00523782826618
441.85	90	255.45	0.0039146	13.032	18.684	60.367	37.103	52.058	1022.1	-0.30912	33.768	0.11378	0.00168333085947	0.00525757854051
443.5	90	254.75	0.0039255	13.102	18.77	60.561	37.186	52.114	1021	-0.30836	33.706	0.11379	0.00167948318922	0.00527726942098
445.15	90	254.04	0.0039364	13.172	18.856	60.755	37.27	52.17	1019.9	-0.3076	33.644	0.11381	0.00167562537838	0.00529717299479
446.8	90	253.34	0.0039472	13.243	18.942	60.948	37.354	52.227	1018.9	-0.30685	33.584	0.11384	0.00167169943452	0.00531607469954
448.45	90	252.64	0.0039581	13.313	19.028	61.141	37.438	52.284	1017.8	-0.30612	33.525	0.11387	0.00166795154656	0.00533616389808
450.1	90	251.95	0.003969	13.384	19.115	61.333	37.522	52.341	1016.8	-0.30539	33.466	0.1139	0.00166404171804	0.00535513716105
451.75	90	251.26	0.0039799	13.455	19.201	61.524	37.607	52.398	1015.8	-0.30468	33.409	0.11393	0.00166008853171	0.00537410624407
453.4	90	250.57	0.0039908	13.525	19.287	61.715	37.692	52.456	1014.8	-0.30397	33.353	0.11397	0.00165624200593	0.00539331763091
455.05	90	249.89	0.0040017	13.596	19.374	61.906	37.776	52.514	1013.8	-0.30328	33.297	0.11401	0.00165247466648	0.00541259683525
456.7	90	249.21	0.0040127	13.667	19.461	62.096	37.862	52.572	1012.9	-0.30259	33.242	0.11405	0.00164840215017	0.00543065658712
458.35	90	248.54	0.0040236	13.738	19.548	62.286	37.947	52.631	1011.9	-0.30192	33.189	0.1141	0.00164466341624	0.00544995214291
460	90	247.86	0.0040345	13.809	19.634	62.475	38.032	52.69	1011	-0.30125	33.136	0.11415	0.00164082868287	0.00546852595399
461.65	90	247.19	0.0040454	13.88	19.721	62.664	38.118	52.749	1010.1	-0.3006	33.084	0.1142	0.00163691681623	0.00548686765969
463.3	90	246.53	0.0040563	13.952	19.808	62.852	38.204	52.808	1009.2	-0.29995	33.032	0.11425	0.00163300516254	0.0055051178937
464.95	90	245.86	0.0040673	14.023	19.896	63.04	38.29	52.867	1008.3	-0.29931	32.982	0.11431	0.00162913963336	0.00552372295932
466.6	90	245.21	0.0040782	14.095	19.983	63.227	38.376	52.927	1007.4	-0.29869	32.933	0.11437	0.00162533190865	0.00554211460448
468.25	90	244.55	0.0040892	14.166	20.07	63.414	38.462	52.987	1006.5	-0.29807	32.884	0.11444	0.00162156977226	0.00556086359676
469.9	90	243.9	0.0041001	14.238	20.158	63.601	38.549	53.047	1005.7	-0.29746	32.836	0.1145	0.0016175887713	0.00557826331749
471.55	90	243.25	0.004111	14.31	20.245	63.787	38.636	53.108	1004.9	-0.29686	32.789	0.11457	0.00161371117044	0.00559589101719
473.2	90	242.6	0.004122	14.382	20.333	63.973	38.722	53.168	1004.1	-0.29627	32.742	0.11465	0.00160985168807	0.00561368206781
474.85	90	241.96	0.0041329	14.453	20.421	64.158	38.809	53.229	1003.3	-0.29569	32.697	0.11472	0.00160600467512	0.00563132580607
476.5	90	241.32	0.0041439	14.526	20.509	64.342	38.896	53.29	1002.5	-0.29512	32.652	0.1148	0.00160216976074	0.00564909267489
478.15	90	240.68	0.0041548	14.598	20.597	64.527	38.984	53.351	1001.7	-0.29455	32.608	0.11488	0.00159830931119	0.00566683823408
479.8	90	240.05	0.0041658	14.67	20.685	64.711	39.071	53.413	1000.9	-0.294	32.565	0.11496	0.00159457416954	0.00568472362773
481.45	90	239.42	0.0041768	14.742	20.773	64.894	39.158	53.475	1000.2	-0.29345	32.522	0.11505	0.00159071060503	0.00570159236603
483.1	90	238.79	0.0041877	14.815	20.861	65.077	39.246	53.537	999.47	-0.29291	32.48	0.11513	0.00158686876782	0.00571877448081
484.75	90	238.17	0.0041987	14.887	20.95	65.26	39.334	53.599	998.75	-0.29238	32.439	0.11523	0.00158298952189	0.00573571986899
486.4	90	237.55	0.0042097	14.96	21.038	65.442	39.422	53.661	998.04	-0.29186	32.398	0.11532	0.00157912494776	0.00575266624749
488.05	90	236.93	0.0042206	15.033	21.127	65.624	39.51	53.724	997.35	-0.29135	32.359	0.11541	0.0015753478091	0.00576960487907
489.7	90	236.32	0.0042316	15.106	21.215	65.805	39.598	53.786	996.67	-0.29084	32.319	0.11551	0.00157146287012	0.00578619074179
491.35	90	235.71	0.0042426	15.179	21.304	65.986	39.686	53.849	996	-0.29035	32.281	0.11561	0.0015676620172	0.00580288053706
493	90	235.1	0.0042536	15.252	21.393	66.167	39.774	53.912	995.34	-0.28986	32.243	0.11571	0.00156387500219	0.00581956642702
494.65	90	234.49	0.0042645	15.325	21.482	66.347	39.862	53.976	994.7	-0.28938	32.206	0.11582	0.00156017398791	0.00583623875039
496.3	90	233.89	0.0042755	15.398	21.571	66.527	39.951	54.039	994.07	-0.2889	32.169	0.11593	0.00155629035589	0.00585240079334
497.95	90	233.29	0.0042865	15.471	21.66	66.707	40.039	54.103	993.45	-0.28844	32.134	0.11604	0.00155256449721	0.00586880897537
499.6	90	232.7	0.0042975	15.545	21.75	66.886	40.128	54.167	992.84	-0.28798	32.098	0.11615	0.00154874395252	0.00588480874949
501.25	90	232.1	0.0043085	15.618	21.839	67.064	40.217	54.231	992.24	-0.28753	32.064	0.11626	0.00154496982811	0.00590105061564
502.9	90	231.51	0.0043194	15.692	21.929	67.243	40.306	54.295	991.65	-0.28708	32.03	0.11638	0.00154119324733	0.00591702697947
504.55	90	230.92	0.0043304	15.766	22.018	67.421	40.394	54.359	991.08	-0.28665	31.996	0.1165	0.00153747013127	0.00593301743358
506.2	90	230.34	0.0043414	15.84	22.108	67.598	40.483	54.424	990.52	-0.28622	31.964	0.11662	0.00153372135356	0.00594869782895
507.85	90	229.76	0.0043524	15.914	22.198	67.775	40.572	54.489	989.96	-0.28579	31.931	0.11674	0.00153000043401	0.0059644816158
509.5	90	229.18	0.0043634	15.988	22.288	67.952	40.662	54.554	989.42	-0.28538	31.9	0.11687	0.00152620258987	0.00597998064693
511.15	90	228.6	0.0043744	16.062	22.378	68.129	40.751	54.619	988.89	-0.28497	31.869	0.117	0.00152249068348	0.005995608652
512.8	90	228.03	0.0043854	16.136	22.468	68.305	40.84	54.684	988.37	-0.28457	31.838	0.11712	0.00151875744742	0.00601095455267
514.45	90	227.46	0.0043963	16.211	22.558	68.481	40.929	54.749	987.86	-0.28417	31.808	0.11726	0.00151505327157	0.00602627881933
516.1	90	226.89	0.0044073	16.285	22.649	68.656	41.019	54.815	987.36	-0.28378	31.779	0.11739	0.00151133883621	0.00604154391529
517.75	90	226.33	0.0044183	16.36	22.739	68.831	41.108	54.881	986.87	-0.2834	31.75	0.11753	0.00150767579469	0.00605666636401
519.4	90	225.77	0.0044293	16.435	22.83	69.006	41.198	54.947	986.39	-0.28303	31.722	0.11766	0.00150395105126	0.0060716160179
521.05	90	225.21	0.0044403	16.51	22.921	69.18	41.287	55.013	985.93	-0.28266	31.694	0.1178	0.00150029527607	0.0060865636468
522.7	90	224.65	0.0044513	16.584	23.011	69.354	41.377	55.079	985.47	-0.2823	31.667	0.11794	0.00149659303878	0.00610146056473
524.35	90	224.1	0.0044623	16.66	23.102	69.528	41.466	55.145	985.02	-0.28194	31.64	0.11809	0.00149294117453	0.00611620514891
526	90	223.55	0.0044733	16.735	23.193	69.701	41.556	55.212	984.58	-0.28159	31.614	0.11823	0.0014892956161	0.00613088328305
