Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 5.0000000000e+01 -1.3765273868e+02 3.0521569408e-01 5.0246029310e+04 1.7014578076e+01 2.5262802978e+09 1.7075161415e+06 -6.8895405499e+06 1.3100961660e+04 -4.9925489901e+02 1.9405319108e-01 6.9040487539e+04 1.7956738491e+02 2.7144899503e+02 9.1919504543e-02 2.9974169620e-03 2.2571914576e-03 7.7650231492e-03 1.1607010600e-02 3.5782949699e+01 5.0781081470e+01 9.5635110805e+00 3.0256578869e+01 4.4964576428e+01 -1.1675923569e-01 7.9202573389e-01 8.9233014790e+02 1.2378811596e+03
3.0681700000e+02 5.0000000000e+01 -1.1859187672e+02 3.2589127134e-01 5.1267560805e+04 1.8550448740e+01 2.6301534812e+09 1.9063200935e+06 -6.0507183421e+06 1.4683397044e+04 -4.8754562285e+02 2.0187268553e-01 5.8145909183e+04 1.8191542115e+02 2.6604023960e+02 9.6262934104e-02 3.0444424608e-03 2.3304598255e-03 8.2454656781e-03 1.2402107679e-02 3.6039748312e+01 5.1187215181e+01 9.4277140069e+00 3.0390085181e+01 4.5516370719e+01 -7.7648875589e-02 8.4523400975e-01 8.7626110183e+02 1.2249571844e+03
3.1348300000e+02 5.0000000000e+01 -9.9435248291e+01 3.3037199972e-01 5.2322472934e+04 1.9176073665e+01 2.7395955465e+09 2.0056132328e+06 -5.1714788688e+06 1.5433736323e+04 -4.7598080834e+02 2.0178893833e-01 4.7664667516e+04 1.7754396206e+02 2.6067640529e+02 9.5537341227e-02 3.0553663677e-03 2.2755005296e-03 8.6302204464e-03 1.2530536615e-02 3.6308200045e+01 5.1430317387e+01 8.9288134023e+00 3.0561975932e+01 4.3785456848e+01 -5.0490161099e-02 8.5568593394e-01 8.6488244316e+02 1.1622885945e+03
3.2015000000e+02 5.0000000000e+01 -8.0427726414e+01 3.0635272978e-01 5.3394199427e+04 1.8278193364e+01 2.8530454903e+09 1.9531530861e+06 -4.2614624177e+06 1.4968153340e+04 -4.6468610717e+02 1.8502956857e-01 3.7713778041e+04 1.5711440150e+02 2.5544411765e+02 8.7445022608e-02 3.0262585225e-03 2.0431754585e-03 8.9189266386e-03 1.1702028817e-02 3.6587870373e+01 5.1422605675e+01 7.7412900115e+00 3.0776981167e+01 3.8751642967e+01 -3.8035233192e-02 8.0053109872e-01 8.5636671970e+02 1.0270223512e+03
3.2681700000e+02 5.0000000000e+01 -6.1640215005e+01 3.2307105953e-01 5.4479590979e+04 1.9717374120e+01 2.9703111184e+09 2.1527472764e+06 -3.3232613927e+06 1.6495645540e+04 -4.5370975886e+02 1.9135207270e-01 2.8311327121e+04 1.5785190007e+02 2.5035492953e+02 9.0609010082e-02 3.0157483449e-03 2.0886968963e-03 9.2964837732e-03 1.2374571093e-02 3.6878182599e+01 5.1491850220e+01 7.6637150060e+00 3.1004257230e+01 3.8771076488e+01 -1.7922737692e-02 8.5038758215e-01 8.4473628931e+02 1.0176262073e+03
3.3348300000e+02 5.0000000000e+01 -4.3019560018e+01 3.2726530727e-01 5.5585771649e+04 2.0520962632e+01 3.0922649605e+09 2.2816599910e+06 -2.3542940036e+06 1.7331095725e+04 -4.4304987859e+02 1.8991453432e-01 1.9407382570e+04 1.5339490414e+02 2.4537275917e+02 9.0585865276e-02 3.0104418845e-03 2.0465419412e-03 9.7173225584e-03 1.2609648064e-02 3.7178538719e+01 5.1557368756e+01 7.3389614680e+00 3.1222929781e+01 3.7232740007e+01 4.9851475144e-03 8.6519096974e-01 8.3218917745e+02 9.6753180384e+02
3.4015000000e+02 5.0000000000e+01 -2.4690576802e+01 3.1030451093e-01 5.6704913924e+04 2.0032035523e+01 3.2181093900e+09 2.2728861111e+06 -1.3614390606e+06 1.7123051350e+04 -4.3277494999e+02 1.7717107809e-01 1.1032293676e+04 1.3882536006e+02 2.4053002141e+02 8.4971576532e-02 2.9635358804e-03 1.8835175337e-03 9.9966470057e-03 1.2069998130e-02 3.7488468248e+01 5.1383797666e+01 6.6061888013e+00 3.1452380775e+01 3.3652717451e+01 1.0444674026e-02 8.3102152897e-01 8.2427952782e+02 8.7727082896e+02
3.4681700000e+02 5.0000000000e+01 -6.7528318606e+00 3.1702201796e-01 5.7826912086e+04 2.0891591126e+01 3.3467932778e+09 2.4199177790e+06 -3.5012807882e+05 1.8241570872e+04 -4.2291181243e+02 1.7775680415e-01 3.2034683322e+03 1.3510534943e+02 2.3586308984e+02 8.5212145296e-02 2.9204975309e-03 1.8710718370e-03 1.0262107975e-02 1.2352641501e-02 3.7807363467e+01 5.1309352534e+01 6.4410744837e+00 3.1703376577e+01 3.2806642224e+01 1.7071408254e-02 8.5917759271e-01 8.1770607790e+02 8.5573735104e+02
3.5348300000e+02 5.0000000000e+01 1.0983239787e+01 3.2141220950e-01 5.8961255721e+04 2.1582983652e+01 3.4794873165e+09 2.5462562811e+06 6.9019484682e+05 1.9180380977e+04 -4.1333919399e+02 1.7729786177e-01 -4.1874248673e+03 1.3120751965e+02 2.3132536771e+02 8.4677498274e-02 2.9104321881e-03 1.8418178806e-03 1.0625953485e-02 1.2514028865e-02 3.8134613534e+01 5.1509265383e+01 6.2693668332e+00 3.1967522476e+01 3.1800791281e+01 3.8759519516e-02 8.7406739644e-01 8.0964120511e+02 8.2250433476e+02
3.6015000000e+02 5.0000000000e+01 2.8611000664e+01 3.1385015766e-01 6.0113248215e+04 2.1559425090e+01 3.6168753781e+09 2.5936336484e+06 1.7646597922e+06 1.9468841857e+04 -4.0400189865e+02 1.7030289073e-01 -1.1203318680e+04 1.2229946037e+02 2.2689231684e+02 8.1374207078e-02 2.8887286778e-03 1.7501582510e-03 1.0949096432e-02 1.2270138831e-02 3.8469762099e+01 5.1640964888e+01 5.9068054794e+00 3.2233454849e+01 2.9818271881e+01 5.5281036152e-02 8.5939918106e-01 8.0305392771e+02 7.6870451236e+02
