Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
4.0015000000e+02 5.0000000000e+01 1.2750426809e+02 2.2648364039e-01 6.7024247988e+04 1.7552819546e+01 4.4968037613e+09 2.3577585710e+06 8.6021217589e+06 1.7374469499e+04 -3.5484455031e+02 1.1228694290e-01 -4.4887833983e+04 6.7440999392e+01 2.0349701145e+02 5.3293344235e-02 2.6372827773e-03 1.0869742374e-03 1.2298427663e-02 8.9979046239e-03 4.0615947596e+01 5.1849003104e+01 3.7640988788e+00 3.4008809751e+01 1.7201426719e+01 8.4094190787e-02 6.5657694668e-01 7.8049598928e+02 4.5307547186e+02
4.1015000000e+02 5.0000000000e+01 1.5115369794e+02 2.2769516955e-01 6.8794845611e+04 1.8092400401e+01 4.7376386023e+09 2.4946314797e+06 1.0457711928e+07 1.8343359413e+04 -3.4393745920e+02 1.0997263903e-01 -5.1633389041e+04 6.3387550856e+01 1.9825953586e+02 5.2140402005e-02 2.5705481302e-03 1.0556636583e-03 1.2598149522e-02 9.0487845290e-03 4.1181033148e+01 5.1920886653e+01 3.7308316496e+00 3.4513871110e+01 1.6364821450e+01 8.4640282875e-02 6.6983968100e-01 7.7607517568e+02 4.3419632616e+02
4.2015000000e+02 5.0000000000e+01 1.7407757684e+02 2.2744471889e-01 7.0555092667e+04 1.8551886493e+01 4.9832456415e+09 2.6231467098e+06 1.2343474004e+07 1.9203916288e+04 -3.3368142981e+02 1.0698325901e-01 -5.7738218824e+04 5.9357548616e+01 1.9331324848e+02 5.0830142911e-02 2.4813663934e-03 1.0196158535e-03 1.2765332239e-02 9.0572783924e-03 4.1754597497e+01 5.1848476915e+01 3.6890795541e+00 3.5030901509e+01 1.5503934309e+01 6.8097787087e-02 6.8159177128e-01 7.7445372674e+02 4.1878203492e+02
4.3015000000e+02 5.0000000000e+01 1.9624244686e+02 2.2756842348e-01 7.2296264602e+04 1.8944896912e+01 5.2322838970e+09 2.7441982809e+06 1.4251333868e+07 2.0082762725e+04 -3.2404713270e+02 1.0472244196e-01 -6.3247219744e+04 5.5656855730e+01 1.8865752242e+02 4.9436818535e-02 2.3977298943e-03 9.8668425621e-04 1.2889077718e-02 9.0331221933e-03 4.2335358603e+01 5.1873727210e+01 3.6599381793e+00 3.5558413107e+01 1.4770628630e+01 5.1445921960e-02 6.9260074774e-01 7.7455909316e+02 4.0585354309e+02
4.4015000000e+02 5.0000000000e+01 2.1789637189e+02 2.2959660790e-01 7.4029809441e+04 1.9353754061e+01 5.4863171360e+09 2.8712036847e+06 1.6197751487e+07 2.1125473164e+04 -3.1486889116e+02 1.0396585430e-01 -6.8261757075e+04 5.2453273626e+01 1.8423975778e+02 4.8166150736e-02 2.3482008777e-03 9.6289783121e-04 1.3124685326e-02 9.0193353393e-03 4.2922140237e+01 5.2197283012e+01 3.6643945275e+00 3.6095650529e+01 1.4244351371e+01 5.5984736867e-02 7.0352558863e-01 7.7332203538e+02 3.9261673705e+02
4.5015000000e+02 5.0000000000e+01 2.3935338487e+02 2.3365594655e-01 7.5778733164e+04 2.0032533625e+01 5.7487681535e+09 3.0428969798e+06 1.8208737617e+07 2.2408978330e+04 -3.0599823785e+02 1.0315465752e-01 -7.2890696533e+04 5.0068090176e+01 1.7998762437e+02 4.7580739170e-02 2.3215732672e-03 9.4915121836e-04 1.3486703897e-02 9.1295166975e-03 4.3513868512e+01 5.2669102982e+01 3.7112058833e+00 3.6635004724e+01 1.3899724140e+01 7.6247747703e-02 7.1820624730e-01 7.6958324040e+02 3.8149799338e+02
4.6015000000e+02 5.0000000000e+01 2.6056999282e+02 2.3607686264e-01 7.7542517460e+04 2.0754339672e+01 6.0196197602e+09 3.2259234670e+06 2.0279477664e+07 2.3612861930e+04 -2.9747493563e+02 1.0078949807e-01 -7.7163422204e+04 4.7805420366e+01 1.7589362078e+02 4.7078120123e-02 2.2749179328e-03 9.3071500213e-04 1.3758235839e-02 9.2529784246e-03 4.4109567143e+01 5.2959453141e+01 3.7433983380e+00 3.7172838012e+01 1.3488817960e+01 8.0603814090e-02 7.3234562446e-01 7.6727750726e+02 3.7298572927e+02
4.7015000000e+02 5.0000000000e+01 2.8128506540e+02 2.4020847851e-01 7.9299375193e+04 2.1631097530e+01 6.2955271422e+09 3.4389872678e+06 2.2382484993e+07 2.5038377710e+04 -2.8940332085e+02 9.9019063517e-02 -8.1060788761e+04 4.6037558225e+01 1.7199674180e+02 4.6916867728e-02 2.2035446794e-03 9.2004284060e-04 1.3863720469e-02 9.4395994352e-03 4.4708351853e+01 5.3070909126e+01 3.8057376172e+00 3.7712327371e+01 1.3190338106e+01 6.3263740747e-02 7.5601985892e-01 7.6822173347e+02 3.7190612305e+02
4.8015000000e+02 5.0000000000e+01 3.0139462408e+02 2.4955877722e-01 8.1036691363e+04 2.2952517837e+01 6.5744326176e+09 3.7302994725e+06 2.4503229832e+07 2.7067462105e+04 -2.8179658656e+02 9.8932686318e-02 -8.4593206740e+04 4.5303545497e+01 1.6830936617e+02 4.7671291415e-02 2.1334569145e-03 9.2909264265e-04 1.3937396848e-02 9.8093512732e-03 4.5309424258e+01 5.3205199435e+01 3.9493202747e+00 3.8259174553e+01 1.3187694675e+01 4.3674757734e-02 7.9614774678e-01 7.6995308688e+02 3.7935220719e+02
4.9015000000e+02 5.0000000000e+01 3.2103329883e+02 2.6482792880e-01 8.2762878103e+04 2.4738185217e+01 6.8576065395e+09 4.1060648145e+06 2.6652071009e+07 2.9798754518e+04 -2.7458064178e+02 1.0131764189e-01 -8.7812746217e+04 4.5407435457e+01 1.6479893489e+02 4.9259120375e-02 2.0861988501e-03 9.5765454322e-04 1.4127604344e-02 1.0356730851e-02 4.5912065491e+01 5.3516352210e+01 4.1788575862e+00 3.8817329822e+01 1.3455691181e+01 4.1018867341e-02 8.5080168885e-01 7.6951831499e+02 3.9044065333e+02
