Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
295	80	323.21	0.003094	7.1694	11.14	41.189	31.268	49.103	1145.7	-0.37766	43.609	0.12455	0.00212334500848	0.00370153029267
296.65	80	322.08	0.0031048	7.2365	11.221	41.463	31.299	49.117	1142.2	-0.37567	43.353	0.12406	0.00212217724889	0.00373467918815
298.3	80	320.95	0.0031157	7.3035	11.302	41.736	31.331	49.131	1138.7	-0.37368	43.102	0.12358	0.00212096126791	0.0037681252136
299.95	80	319.83	0.0031267	7.3706	11.383	42.007	31.364	49.147	1135.3	-0.37171	42.856	0.12311	0.00211963966925	0.00380123827958
301.6	80	318.71	0.0031376	7.4377	11.465	42.276	31.398	49.163	1131.9	-0.36973	42.614	0.12264	0.0021183365377	0.00383463984863
303.25	80	317.6	0.0031486	7.5047	11.546	42.545	31.433	49.179	1128.5	-0.36777	42.377	0.12219	0.00211695061109	0.00386821175605
304.9	80	316.5	0.0031596	7.5717	11.627	42.812	31.47	49.196	1125.2	-0.36581	42.144	0.12175	0.00211531509943	0.0039012150287
306.55	80	315.39	0.0031706	7.6387	11.708	43.077	31.507	49.213	1121.9	-0.36386	41.915	0.12131	0.00211378905852	0.00393474481798
308.2	80	314.3	0.0031817	7.7057	11.789	43.341	31.545	49.231	1118.7	-0.36192	41.69	0.12089	0.00211203752862	0.00396767844858
309.85	80	313.2	0.0031928	7.7727	11.87	43.604	31.584	49.25	1115.5	-0.35999	41.469	0.12047	0.0021103822404	0.00400108890151
311.5	80	312.12	0.0032039	7.8397	11.952	43.866	31.624	49.269	1112.4	-0.35806	41.252	0.12006	0.00210845113764	0.00403379095335
313.15	80	311.03	0.0032151	7.9067	12.033	44.126	31.665	49.288	1109.2	-0.35615	41.039	0.11966	0.00210669099049	0.00406761369857
314.8	80	309.95	0.0032263	7.9737	12.114	44.385	31.707	49.308	1106.2	-0.35424	40.83	0.11927	0.00210457833748	0.00410018342564
316.45	80	308.88	0.0032375	8.0407	12.196	44.643	31.75	49.329	1103.1	-0.35235	40.625	0.11889	0.00210268237315	0.00413370065898
