Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
446.8	60	203.61	0.0049114	13.887	18.615	64.912	36.776	52.54	834.12	-0.075716	27.849	0.096973	0.00212506979154	0.01008484911046
448.45	60	202.9	0.0049286	13.957	18.701	65.106	36.861	52.582	833.67	-0.075597	27.813	0.097063	0.0021178031878	0.01011578508183
450.1	60	202.19	0.0049458	14.027	18.788	65.299	36.947	52.625	833.23	-0.0755	27.778	0.097156	0.00211056531087	0.01014666821855
451.75	60	201.49	0.0049631	14.098	18.875	65.492	37.034	52.668	832.81	-0.075424	27.744	0.097252	0.0021031701067	0.01017655642909
453.4	60	200.79	0.0049803	14.168	18.962	65.684	37.12	52.711	832.4	-0.075368	27.711	0.097351	0.00209592880204	0.01020674030871
455.05	60	200.1	0.0049975	14.238	19.049	65.876	37.207	52.755	832.01	-0.075332	27.678	0.097452	0.00208863820976	0.01023610641476
456.7	60	199.41	0.0050147	14.309	19.136	66.067	37.294	52.799	831.63	-0.075316	27.647	0.097556	0.0020813837978	0.01026548569332
458.35	60	198.73	0.0050319	14.38	19.223	66.257	37.381	52.844	831.26	-0.075319	27.616	0.097663	0.00207419967498	0.01029455481319
460	60	198.05	0.0050492	14.45	19.31	66.447	37.468	52.889	830.91	-0.07534	27.586	0.097772	0.00206700532935	0.01032338266315
461.65	60	197.38	0.0050664	14.521	19.398	66.636	37.555	52.935	830.57	-0.07538	27.556	0.097884	0.00205990072529	0.01035188707013
463.3	60	196.71	0.0050836	14.592	19.485	66.825	37.643	52.98	830.25	-0.075437	27.528	0.097998	0.00205262517101	0.0103796693567
464.95	60	196.05	0.0051008	14.663	19.573	67.014	37.731	53.027	829.93	-0.075512	27.5	0.098115	0.00204552911448	0.01040756107571
466.6	60	195.39	0.005118	14.734	19.66	67.202	37.819	53.074	829.63	-0.075605	27.472	0.098235	0.00203844214768	0.01043519454112
468.25	60	194.73	0.0051352	14.805	19.748	67.389	37.907	53.121	829.34	-0.075713	27.446	0.098357	0.00203138863368	0.0104628196198
469.9	60	194.08	0.0051525	14.876	19.835	67.576	37.995	53.169	829.07	-0.075838	27.42	0.098481	0.00202435774726	0.01048983987824
471.55	60	193.44	0.0051697	14.947	19.923	67.763	38.083	53.217	828.81	-0.075979	27.395	0.098608	0.00201732713661	0.01051630049811
