Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
295	70	310.28	0.0032229	7.3484	10.968	42.321	31.022	49.751	1070.1	-0.3175	40.779	0.11663	0.00235424764212	0.00451366694483
296.65	70	309.08	0.0032355	7.4164	11.05	42.598	31.054	49.762	1066.6	-0.31496	40.538	0.11616	0.00235308940089	0.00455728528286
298.3	70	307.88	0.003248	7.4844	11.132	42.874	31.086	49.773	1063.2	-0.31243	40.3	0.1157	0.00235184369071	0.00460063269648
299.95	70	306.69	0.0032607	7.5523	11.214	43.149	31.12	49.785	1059.8	-0.30991	40.067	0.11526	0.00235046829983	0.0046442060221
301.6	70	305.5	0.0032733	7.6203	11.296	43.422	31.155	49.797	1056.4	-0.30741	39.839	0.11482	0.00234912381467	0.00468821396741
303.25	70	304.32	0.003286	7.6882	11.378	43.694	31.191	49.81	1053.1	-0.30493	39.614	0.11439	0.00234756307704	0.00473170349328
304.9	70	303.14	0.0032988	7.756	11.461	43.964	31.228	49.823	1049.8	-0.30245	39.394	0.11397	0.00234595978933	0.0047756151404
306.55	70	301.97	0.0033116	7.8239	11.543	44.233	31.265	49.836	1046.6	-0.3	39.178	0.11356	0.00234418729285	0.00481902838465
308.2	70	300.81	0.0033244	7.8917	11.625	44.5	31.304	49.85	1043.4	-0.29756	38.966	0.11316	0.00234235322978	0.0048626318831
309.85	70	299.65	0.0033373	7.9595	11.707	44.767	31.344	49.864	1040.3	-0.29514	38.757	0.11277	0.00234024993722	0.00490570259923
311.5	70	298.49	0.0033502	8.0273	11.79	45.031	31.385	49.878	1037.2	-0.29273	38.553	0.11239	0.00233813647788	0.00494916685449
313.15	70	297.34	0.0033631	8.0951	11.872	45.295	31.427	49.893	1034.2	-0.29035	38.352	0.11202	0.00233583401749	0.0049919966907
314.8	70	296.2	0.0033761	8.1629	11.954	45.557	31.469	49.909	1031.2	-0.28798	38.155	0.11165	0.00233363266108	0.00503529666405
316.45	70	295.06	0.0033891	8.2306	12.037	45.818	31.513	49.924	1028.2	-0.28563	37.962	0.11129	0.00233123206867	0.00507871787113
318.1	70	293.93	0.0034022	8.2983	12.119	46.078	31.557	49.94	1025.3	-0.28331	37.772	0.11095	0.00232870489333	0.00512161582595
319.75	70	292.8	0.0034153	8.3661	12.201	46.336	31.603	49.957	1022.4	-0.281	37.585	0.11061	0.00232615054453	0.00516482112707
321.4	70	291.68	0.0034284	8.4338	12.284	46.593	31.649	49.974	1019.6	-0.27871	37.402	0.11027	0.00232341472417	0.00520736254738
323.05	70	290.57	0.0034415	8.5015	12.366	46.849	31.696	49.991	1016.8	-0.27645	37.222	0.10995	0.00232062370135	0.00525007512143
324.7	70	289.46	0.0034547	8.5691	12.449	47.104	31.744	50.009	1014	-0.2742	37.046	0.10964	0.00231786996248	0.00529324568393
326.35	70	288.35	0.003468	8.6368	12.531	47.358	31.793	50.027	1011.3	-0.27198	36.872	0.10933	0.00231483814177	0.00533571936776
328	70	287.25	0.0034812	8.7045	12.614	47.61	31.842	50.045	1008.6	-0.26978	36.702	0.10903	0.00231188266201	0.0053785150794
329.65	70	286.16	0.0034945	8.7721	12.696	47.861	31.893	50.064	1006	-0.2676	36.535	0.10874	0.00230859372768	0.00542032446271
331.3	70	285.07	0.0035079	8.8398	12.779	48.111	31.944	50.084	1003.4	-0.26545	36.371	0.10846	0.00230544007932	0.00546273333198
332.95	70	283.99	0.0035212	8.9074	12.862	48.36	31.997	50.104	1000.9	-0.26332	36.209	0.10818	0.00230193082	0.00550400362389
334.6	70	282.92	0.0035346	8.9751	12.944	48.608	32.049	50.124	998.34	-0.26121	36.051	0.10791	0.00229866608302	0.00554639306974
336.25	70	281.85	0.003548	9.0427	13.027	48.854	32.103	50.144	995.87	-0.25913	35.896	0.10765	0.00229507497397	0.00558791791026
337.9	70	280.78	0.0035615	9.1104	13.11	49.1	32.158	50.165	993.43	-0.25707	35.743	0.10739	0.00229144884651	0.00562951621372
339.55	70	279.72	0.003575	9.178	13.193	49.344	32.213	50.187	991.03	-0.25504	35.593	0.10715	0.0022878548412	0.00567104300713
341.2	70	278.67	0.0035885	9.2457	13.276	49.588	32.269	50.209	988.66	-0.25303	35.445	0.10691	0.00228412943423	0.00571231200054
342.85	70	277.62	0.003602	9.3134	13.358	49.83	32.326	50.231	986.34	-0.25104	35.301	0.10668	0.00228026675742	0.00575328401776
344.5	70	276.58	0.0036156	9.381	13.441	50.071	32.383	50.253	984.05	-0.24909	35.158	0.10645	0.00227633877736	0.0057941510106
346.15	70	275.55	0.0036292	9.4487	13.524	50.311	32.442	50.277	981.79	-0.24715	35.019	0.10623	0.00227235149882	0.00583477497713
347.8	70	274.52	0.0036428	9.5164	13.607	50.55	32.5	50.3	979.58	-0.24524	34.881	0.10602	0.00226833645847	0.00587531038386
349.45	70	273.49	0.0036564	9.5841	13.69	50.789	32.56	50.324	977.39	-0.24336	34.747	0.10581	0.00226423911685	0.0059158005526
351.1	70	272.47	0.0036701	9.6518	13.773	51.026	32.62	50.348	975.24	-0.24151	34.614	0.10561	0.00226005135193	0.00595602570588
352.75	70	271.46	0.0036838	9.7195	13.856	51.262	32.681	50.373	973.13	-0.23968	34.484	0.10542	0.0022557912398	0.00599590732942
