Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
587.05	50	137.4	0.0072782	20.42	26.258	81.625	44.298	57.044	783.61	-0.022521	25.355	0.10756	0.00168469592669	0.01526297456561
588.7	50	137.02	0.0072984	20.498	26.352	81.786	44.39	57.111	783.99	-0.023633	25.364	0.10782	0.00167910981389	0.01527670210751
590.35	50	136.64	0.0073186	20.576	26.447	81.946	44.482	57.178	784.38	-0.024741	25.375	0.10808	0.00167353991074	0.01529022154482
592	50	136.26	0.0073388	20.654	26.541	82.105	44.574	57.245	784.77	-0.025847	25.385	0.10834	0.00166800740376	0.01530392332714
593.65	50	135.89	0.007359	20.732	26.635	82.265	44.666	57.313	785.16	-0.02695	25.395	0.10861	0.0016625310445	0.01531694838598
595.3	50	135.52	0.0073792	20.811	26.73	82.424	44.758	57.38	785.55	-0.028049	25.406	0.10887	0.00165701114692	0.01532988203966
596.95	50	135.15	0.0073993	20.889	26.825	82.583	44.85	57.448	785.95	-0.029146	25.417	0.10913	0.00165159786622	0.01534286909739
598.6	50	134.78	0.0074195	20.968	26.92	82.741	44.942	57.516	786.35	-0.030239	25.428	0.1094	0.00164620945716	0.01535603330462
600.25	50	134.41	0.0074397	21.047	27.015	82.9	45.034	57.584	786.75	-0.031329	25.439	0.10966	0.00164085685263	0.01536937550996
601.9	50	134.05	0.0074598	21.126	27.11	83.058	45.126	57.652	787.15	-0.032416	25.451	0.10993	0.00163548971729	0.01538174902713
603.55	50	133.69	0.0074799	21.205	27.205	83.216	45.217	57.72	787.56	-0.033499	25.462	0.1102	0.00163022026254	0.01539424356387
605.2	50	133.33	0.0075	21.284	27.3	83.374	45.309	57.789	787.97	-0.034579	25.474	0.11047	0.00162498159797	0.01540683590062
606.85	50	132.98	0.0075201	21.363	27.396	83.531	45.401	57.857	788.38	-0.035655	25.486	0.11073	0.00161963746664	0.01541817486215
608.5	50	132.62	0.0075402	21.443	27.491	83.688	45.492	57.926	788.79	-0.036728	25.498	0.111	0.00161455027062	0.01543144849342
610.15	50	132.27	0.0075603	21.522	27.587	83.845	45.584	57.995	789.21	-0.037798	25.51	0.11128	0.00160933289	0.01544299775445
611.8	50	131.92	0.0075804	21.602	27.682	84.002	45.675	58.064	789.62	-0.038863	25.523	0.11155	0.00160425197393	0.01545544352096
613.45	50	131.57	0.0076004	21.682	27.778	84.158	45.767	58.133	790.04	-0.039926	25.535	0.11182	0.00159911227074	0.01546732655476
615.1	50	131.23	0.0076205	21.762	27.874	84.315	45.858	58.202	790.46	-0.040984	25.548	0.1121	0.00159401650394	0.01547853572052
616.75	50	130.88	0.0076405	21.842	27.97	84.471	45.949	58.272	790.88	-0.042039	25.561	0.11237	0.00158910270264	0.01549135432375
618.4	50	130.54	0.0076605	21.922	28.067	84.626	46.041	58.341	791.31	-0.04309	25.574	0.11265	0.00158398066692	0.01550215962918
620.05	50	130.2	0.0076806	22.002	28.163	84.782	46.132	58.411	791.73	-0.044137	25.587	0.11292	0.00157906014696	0.01551412088245
621.7	50	129.86	0.0077006	22.082	28.259	84.937	46.223	58.481	792.16	-0.04518	25.6	0.1132	0.00157416166574	0.01552585210171
623.35	50	129.52	0.0077206	22.163	28.356	85.092	46.314	58.55	792.59	-0.046219	25.614	0.11348	0.00156921713244	0.0155374804483
625	50	129.19	0.0077405	22.244	28.453	85.247	46.405	58.62	793.02	-0.047255	25.627	0.11376	0.00156433105146	0.01554833388482
