Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 9.0000000000e+01 -6.5541054500e+01 3.0266554119e-01 4.1269335685e+04 1.0587389858e+01 1.7037185323e+09 8.7446124579e+05 -2.6903405145e+06 1.1875886494e+04 -6.0014142112e+02 1.8790374386e-01 3.9604163043e+04 1.9347365983e+02 3.3049318420e+02 8.4785958590e-02 1.9619118663e-03 2.3346463931e-03 3.2771701456e-03 7.2292822289e-03 3.5782949699e+01 4.8375816060e+01 1.1340488077e+01 3.1263578393e+01 5.4183257251e+01 -4.1253575590e-01 7.4435168487e-01 1.1952646098e+03 2.1935717024e+03
3.2015000000e+02 9.0000000000e+01 -1.5254694452e+01 3.1801525701e-01 4.2886929170e+04 1.1475827459e+01 1.8399471667e+09 9.8527905678e+05 -6.3761636110e+05 1.3496106229e+04 -5.7080926487e+02 1.9277806184e-01 8.9980162684e+03 1.8432515448e+02 3.1802776333e+02 8.5098928971e-02 1.9015681819e-03 2.1966476959e-03 3.4735723642e-03 7.3475298486e-03 3.6587870373e+01 4.8561356634e+01 1.0195625877e+01 3.1749840205e+01 5.0175405344e+01 -4.0637626832e-01 7.7431718810e-01 1.1766679942e+03 2.0291293668e+03
3.4015000000e+02 9.0000000000e+01 3.3299849307e+01 3.3781112380e-01 4.4552606058e+04 1.2784182607e+01 1.9857518831e+09 1.1401090086e+06 1.5034175574e+06 1.5461971383e+04 -5.4383179426e+02 1.9705286073e-01 -1.7795714292e+04 1.7753351618e+02 3.0613774068e+02 8.7844934925e-02 1.9350921384e-03 2.1068335429e-03 3.9056118594e-03 7.7036076369e-03 3.7488468248e+01 4.9453456499e+01 9.5259469564e+00 3.2363585523e+01 4.6747672718e+01 -3.6216132027e-01 8.0087156380e-01 1.1304908035e+03 1.8050207074e+03
3.6015000000e+02 9.0000000000e+01 8.0709876618e+01 3.4695694339e-01 4.6234148772e+04 1.3632948454e+01 2.1385257994e+09 1.2627958947e+06 3.7532532107e+06 1.7097663454e+04 -5.1820436500e+02 1.9779447338e-01 -4.1503425120e+04 1.6482984747e+02 2.9500346654e+02 8.6986938439e-02 1.8209705040e-03 1.9694959423e-03 4.0422228252e-03 7.7623075175e-03 3.8469762099e+01 4.9237725340e+01 8.8240126548e+00 3.3171537616e+01 4.2270016590e+01 -3.8012663924e-01 8.2936034724e-01 1.1156873385e+03 1.6672069874e+03
3.8015000000e+02 9.0000000000e+01 1.2740500183e+02 3.6671457755e-01 4.7977191264e+04 1.4923606766e+01 2.3029244531e+09 1.4339346370e+06 6.1378290065e+06 1.9407308581e+04 -4.9408850209e+02 2.0195238942e-01 -6.2604616646e+04 1.5737036759e+02 2.8428579917e+02 8.8428883896e-02 1.8358833738e-03 1.9062743548e-03 4.4222683947e-03 8.0487530520e-03 3.9516878020e+01 5.0335969057e+01 8.6037649334e+00 3.3986039934e+01 4.0191578145e+01 -3.3866645660e-01 8.5525544128e-01 1.0853974670e+03 1.5256409717e+03
4.0015000000e+02 9.0000000000e+01 1.7245675805e+02 3.8012660671e-01 4.9734095669e+04 1.6130709208e+01 2.4747812713e+09 1.6075129040e+06 8.6054483767e+06 2.1569311698e+04 -4.7179557451e+02 2.0162489545e-01 -8.1010619846e+04 1.4773696024e+02 2.7424313193e+02 8.8947756142e-02 1.7988981004e-03 1.8210010392e-03 4.7349651041e-03 8.2671951811e-03 4.0615947596e+01 5.0856451486e+01 8.3891051181e+00 3.4858868564e+01 3.7244876707e+01 -3.2226431310e-01 8.8038511084e-01 1.0599615516e+03 1.3977079754e+03
4.2015000000e+02 9.0000000000e+01 2.1641942357e+02 3.8224063148e-01 5.1501624819e+04 1.7029870080e+01 2.6538674409e+09 1.7573332142e+06 1.1176217054e+07 2.3205436336e+04 -4.5072936991e+02 1.9481552350e-01 -9.7208103136e+04 1.3515110647e+02 2.6483114286e+02 8.7570828529e-02 1.6752126129e-03 1.6967579531e-03 4.8538235998e-03 8.3123587570e-03 4.1754597497e+01 5.0458356812e+01 8.0538682492e+00 3.5743292728e+01 3.3203032093e+01 -3.5554482251e-01 9.0343220199e-01 1.0479552820e+03 1.2986488691e+03
4.4015000000e+02 9.0000000000e+01 2.5935106120e+02 4.1197109931e-01 5.3289613532e+04 1.8642281498e+01 2.8415205824e+09 1.9887862628e+06 1.3856592035e+07 2.6552227700e+04 -4.3095922510e+02 2.0531221657e-01 -1.1138584376e+05 1.3147632541e+02 2.5594545083e+02 8.9537281773e-02 1.7486219721e-03 1.6958740656e-03 5.3658840763e-03 8.6823011116e-03 4.2922140237e+01 5.2620481624e+01 8.3235255339e+00 3.6899674741e+01 3.3211038857e+01 -2.7437574023e-01 9.2687818258e-01 1.0189943828e+03 1.2031549362e+03
4.6015000000e+02 9.0000000000e+01 3.0083470364e+02 4.1304748373e-01 5.5090684763e+04 1.9447610039e+01 3.0368745961e+09 2.1451255089e+06 1.6610756683e+07 2.8349670376e+04 -4.1280654555e+02 1.9853958645e-01 -1.2382013252e+05 1.2018933185e+02 2.4757786582e+02 8.7397675477e-02 1.6206356003e-03 1.5885147639e-03 5.4030853259e-03 8.6643391636e-03 4.4109567143e+01 5.2362349348e+01 8.1027477628e+00 3.7868374608e+01 3.0048331815e+01 -3.1464860018e-01 9.4818943990e-01 1.0167037119e+03 1.1440313104e+03
4.8015000000e+02 9.0000000000e+01 3.4119347990e+02 4.3568093260e-01 5.6892515013e+04 2.0947614714e+01 3.2389522768e+09 2.3869357550e+06 1.9454247009e+07 3.1652742304e+04 -3.9578856450e+02 2.0298664731e-01 -1.3464700653e+05 1.1539759130e+02 2.3973688203e+02 8.8270237948e-02 1.6455955640e-03 1.5667306056e-03 5.8173308676e-03 8.9454798670e-03 4.5309424258e+01 5.3924004017e+01 8.3073047387e+00 3.8967313889e+01 2.9486189923e+01 -2.6043463153e-01 9.7023275654e-01 9.9611968405e+02 1.0726538332e+03
