Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 9.0000000000e+01 -6.5516791739e+01 2.8761671636e-01 4.1268897000e+04 9.9296903337e+00 1.7036829736e+09 8.1812668976e+05 -2.6892503809e+06 1.1238597620e+04 -6.0011147567e+02 1.7793216603e-01 3.9589281884e+04 1.8475726527e+02 3.3049669731e+02 7.9520658393e-02 1.9700651473e-03 2.2141720286e-03 3.2810031501e-03 6.7719119698e-03 3.5782949699e+01 4.8486287953e+01 1.0791387048e+01 3.1251866170e+01 5.1322648890e+01 -4.0914151180e-01 7.0382544789e-01 1.1961471357e+03 2.0629901516e+03
3.0681700000e+02 9.0000000000e+01 -4.8575637777e+01 2.8951382281e-01 4.1808640452e+04 1.0019109263e+01 1.7485526169e+09 8.3846334806e+05 -2.0157678977e+06 1.1676515852e+04 -5.9016212427e+02 1.7611047111e-01 2.8942694453e+04 1.7880100317e+02 3.2623003314e+02 7.8178441385e-02 1.9323999500e-03 2.1512528898e-03 3.3325051922e-03 6.6931049633e-03 3.6039748312e+01 4.8299127570e+01 1.0259569336e+01 3.1392785791e+01 4.9004731856e+01 -4.1449199052e-01 7.1220424759e-01 1.1896174533e+03 1.9751677822e+03
3.1348300000e+02 9.0000000000e+01 -3.1881124986e+01 2.9325039184e-01 4.2348024847e+04 1.0232688364e+01 1.7939794721e+09 8.6646610946e+05 -1.3342735756e+06 1.2105715725e+04 -5.8045476285e+02 1.7676035149e-01 1.8786977932e+04 1.7595737726e+02 3.2207485968e+02 7.7823975990e-02 1.9140466533e-03 2.0974334627e-03 3.4059452965e-03 6.6868976401e-03 3.6308200045e+01 4.8350694696e+01 9.8750173068e+00 3.1555095471e+01 4.7401266009e+01 -4.1204866964e-01 7.1802535660e-01 1.1818690577e+03 1.9054748145e+03
3.2015000000e+02 9.0000000000e+01 -1.5400191310e+01 2.7836464775e-01 4.2888635614e+04 9.9200901101e+00 1.8400948333e+09 8.5107706110e+05 -6.4397408738e+05 1.1797870248e+04 -5.7097686689e+02 1.6641709000e-01 9.0783551209e+03 1.6155021210e+02 3.1801510971e+02 7.3556514438e-02 1.8910143092e-03 1.9214788851e-03 3.4802671641e-03 6.3489710287e-03 3.6587870373e+01 4.8301415545e+01 8.9249254183e+00 3.1707313265e+01 4.3132363908e+01 -4.1210831127e-01 6.8152717521e-01 1.1731945535e+03 1.7403301082e+03
3.2681700000e+02 9.0000000000e+01 8.2783657240e-01 2.8667378112e-01 4.3431149172e+04 1.0388484282e+01 1.8869702368e+09 9.0333374073e+05 5.3337794533e+04 1.2479332333e+04 -5.6177652536e+02 1.6845575467e-01 -1.7576167920e+02 1.6076590082e+02 3.1404267260e+02 7.5117224168e-02 1.8857935815e-03 1.9122863676e-03 3.6001379886e-03 6.5160195182e-03 3.6878182599e+01 4.8371907048e+01 8.7777288957e+00 3.1880561224e+01 4.2317509770e+01 -4.0520075818e-01 6.9985920809e-01 1.1584564713e+03 1.6937469000e+03
3.3348300000e+02 9.0000000000e+01 1.7026799004e+01 2.9260053463e-01 4.3984180171e+04 1.0814210472e+01 1.9353735847e+09 9.5164282864e+05 7.6751274714e+05 1.3044727440e+04 -5.5274149154e+02 1.6911391008e-01 -9.1126100566e+03 1.5910672089e+02 3.1009408626e+02 7.6241564627e-02 1.9137952868e-03 1.8852751426e-03 3.7798980106e-03 6.6451101201e-03 3.7178538719e+01 4.8823887032e+01 8.5853733349e+00 3.2106743918e+01 4.1356682791e+01 -3.8334680844e-01 7.0444118483e-01 1.1390197670e+03 1.6180946647e+03
3.4015000000e+02 9.0000000000e+01 3.3389445508e+01 2.8947907094e-01 4.4552235850e+04 1.0832950202e+01 1.9857222428e+09 9.6550936836e+05 1.5073211045e+06 1.3239404094e+04 -5.4373740241e+02 1.6625052752e-01 -1.7845739695e+04 1.5218065690e+02 3.0614028454e+02 7.4438519053e-02 1.9277049447e-03 1.8046772649e-03 3.9216411393e-03 6.5258644101e-03 3.7488468248e+01 4.9260315413e+01 8.1605351294e+00 3.2370137206e+01 3.9332576272e+01 -3.6625129680e-01 6.8910205582e-01 1.1258542157e+03 1.5123357225e+03
3.4681700000e+02 9.0000000000e+01 4.9636214849e+01 2.9225802922e-01 4.5123261110e+04 1.1032611061e+01 2.0369631212e+09 9.9607294709e+05 2.2600685491e+06 1.3708289341e+04 -5.3488765820e+02 1.6648660341e-01 -2.6238422899e+04 1.4852146971e+02 3.0226614444e+02 7.3903896270e-02 1.8840577845e-03 1.7643806909e-03 3.9544981680e-03 6.5189319455e-03 3.7807363467e+01 4.9137831105e+01 7.9388492131e+00 3.2615211878e+01 3.8013938869e+01 -3.7433882854e-01 6.9861828705e-01 1.1226837769e+03 1.4741066968e+03
3.5348300000e+02 9.0000000000e+01 6.5377327148e+01 2.8856638784e-01 4.5683807900e+04 1.1069366786e+01 2.0878928539e+09 1.0114448327e+06 3.0073728471e+06 1.3857691065e+04 -5.2640783359e+02 1.6264458254e-01 -3.4106432544e+04 1.4207491297e+02 2.9855729606e+02 7.2341610050e-02 1.8237617876e-03 1.6873613679e-03 3.9584495039e-03 6.4161645787e-03 3.8134613534e+01 4.8799655822e+01 7.5743108814e+00 3.2840021986e+01 3.5922049024e+01 -3.9125497657e-01 6.9619858928e-01 1.1213217881e+03 1.4212796655e+03
3.6015000000e+02 9.0000000000e+01 8.0730858426e+01 2.8480098358e-01 4.6238829259e+04 1.1090626525e+01 2.1389599969e+09 1.0261915850e+06 3.7544527255e+06 1.4019043626e+04 -5.1824401393e+02 1.5895324291e-01 -4.1525882401e+04 1.3554089489e+02 2.9497360506e+02 7.0750971442e-02 1.8083330255e-03 1.6155944049e-03 4.0478109590e-03 6.3110188074e-03 3.8469762099e+01 4.8910980086e+01 7.2419865436e+00 3.3087287610e+01 3.4075798312e+01 -3.8776565015e-01 6.8570476651e-01 1.1126816106e+03 1.3457323095e+03
