Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 7.0000000000e+01 -1.1041679795e+02 3.0588245774e-01 4.4574047019e+04 1.2811173208e+01 1.9876662981e+09 1.1432734930e+06 -4.9037128460e+06 1.2365889751e+04 -5.5951298894e+02 1.9400923280e-01 6.2065990133e+04 1.9190150658e+02 3.0599048263e+02 8.7945729304e-02 2.2569881971e-03 2.3133849627e-03 4.4426696230e-03 8.7494716356e-03 3.5782949699e+01 4.8822607165e+01 1.0622042400e+01 3.0779307927e+01 5.1496487746e+01 -3.4638518719e-01 7.6839268045e-01 1.0802022808e+03 1.8326495244e+03
3.2015000000e+02 7.0000000000e+01 -5.7754129658e+01 3.2504483734e-01 4.6690764769e+04 1.4455233897e+01 2.1810722845e+09 1.3524012897e+06 -2.6748349961e+06 1.4451048378e+04 -5.2817685352e+02 1.9802127912e-01 3.0813532953e+04 1.8247670512e+02 2.9211845699e+02 9.0438454846e-02 2.2870123949e-03 2.2053147898e-03 5.0623582887e-03 9.2596686832e-03 3.6587870373e+01 4.9468180932e+01 9.4135464955e+00 3.1302585788e+01 4.7165649785e+01 -2.9731556880e-01 8.0651417377e-01 1.0337533371e+03 1.6093871898e+03
3.4015000000e+02 7.0000000000e+01 -6.3988202703e+00 3.3935958559e-01 4.8874400977e+04 1.6034151776e+01 2.3899925413e+09 1.5698510287e+06 -2.8747653514e+05 1.6532580111e+04 -4.9882229949e+02 1.9863098639e-01 3.5131773212e+03 1.7041808841e+02 2.7906703484e+02 9.1553105566e-02 2.2480314152e-03 2.0839911431e-03 5.6005019285e-03 9.6659915201e-03 3.7488468248e+01 4.9639796347e+01 8.4702260665e+00 3.1995241608e+01 4.2471085772e+01 -2.7252957090e-01 8.4453929996e-01 9.9633308946e+02 1.4218878211e+03
3.6015000000e+02 7.0000000000e+01 4.3177259505e+01 3.5141384723e-01 5.1120025046e+04 1.7539517631e+01 2.6147951346e+09 1.7966904310e+06 2.2360122627e+06 1.8718348290e+04 -4.7187152039e+02 1.9670902798e-01 -2.0046724788e+04 1.5780972645e+02 2.6680804925e+02 9.1543078853e-02 2.1849242628e-03 1.9698205306e-03 6.0512867591e-03 9.9879753736e-03 3.8469762099e+01 4.9731127890e+01 7.8194700318e+00 3.2647484485e+01 3.8627519065e+01 -2.5764766671e-01 8.8244153842e-01 9.7132811998e+02 1.2884174018e+03
3.8015000000e+02 7.0000000000e+01 9.1122723858e+01 3.7339819321e-01 5.3399273141e+04 1.9401452700e+01 2.8533644538e+09 2.0750962332e+06 4.8998568702e+06 2.1641242431e+04 -4.4689012831e+02 2.0182964570e-01 -4.0366968547e+04 1.4989678116e+02 2.5541984671e+02 9.2801189664e-02 2.2151505422e-03 1.9223969724e-03 6.7152925361e-03 1.0464829235e-02 3.9516878020e+01 5.1039767326e+01 7.6261499963e+00 3.3593084083e+01 3.6693533220e+01 -1.9432053913e-01 9.1949918774e-01 9.4117333909e+02 1.1684714614e+03
4.0015000000e+02 7.0000000000e+01 1.3783754976e+02 3.8740303414e-01 5.5745670454e+04 2.0863151074e+01 3.1097561292e+09 2.3279944079e+06 7.7218769351e+06 2.4336788376e+04 -4.2381592215e+02 2.0248355302e-01 -5.8050508902e+04 1.3880007548e+02 2.4466894109e+02 9.1568816724e-02 2.1440287027e-03 1.8415649529e-03 7.0666327274e-03 1.0687480883e-02 4.0615947596e+01 5.1573611068e+01 7.4371551175e+00 3.4506358567e+01 3.4376649102e+01 -1.8061654508e-01 9.5685110092e-01 9.2975500211e+02 1.0930590772e+03
4.2015000000e+02 7.0000000000e+01 1.8301256843e+02 3.9625435308e-01 5.8102717708e+04 2.2358674962e+01 3.3784253574e+09 2.6054901216e+06 1.0675330461e+07 2.7033598599e+04 -4.0238882441e+02 1.9822663939e-01 -7.3278300340e+04 1.2619912855e+02 2.3474348014e+02 9.0332317985e-02 2.0509654114e-03 1.7537948223e-03 7.4161447607e-03 1.0919253462e-02 4.1754597497e+01 5.1729079143e+01 7.3070094360e+00 3.5442860228e+01 3.1534244392e+01 -1.8269373925e-01 9.9477462370e-01 9.1562390779e+02 1.0143713071e+03
4.4015000000e+02 7.0000000000e+01 2.2686388395e+02 4.0807658337e-01 6.0491289721e+04 2.4019982450e+01 3.6620809288e+09 2.9102064470e+06 1.3769613587e+07 2.9920873928e+04 -3.8260305070e+02 1.9596116896e-01 -8.6432915747e+04 1.1733349933e+02 2.2547434884e+02 8.9531731378e-02 1.9891862966e-03 1.6820841351e-03 7.8476286736e-03 1.1190090252e-02 4.2922140237e+01 5.2281526832e+01 7.2979388314e+00 3.6491349694e+01 2.9259416190e+01 -1.6937688528e-01 1.0280198892e+00 8.9983187737e+02 9.4063807980e+02
4.6015000000e+02 7.0000000000e+01 2.6961367688e+02 4.1512999273e-01 6.2898020483e+04 2.5278624684e+01 3.9593560254e+09 3.1840650280e+06 1.7007853059e+07 3.2681508742e+04 -3.6410175415e+02 1.9224286447e-01 -9.7805753731e+04 1.0686042178e+02 2.1684679511e+02 8.7150417537e-02 1.8774137258e-03 1.6015668533e-03 7.9957152379e-03 1.1263783636e-02 4.4109567143e+01 5.2529829068e+01 7.2608581588e+00 3.7523307307e+01 2.7197279680e+01 -1.9168841144e-01 1.0616461432e+00 8.9856040082e+02 9.0007445727e+02
4.8015000000e+02 7.0000000000e+01 3.1037497024e+02 4.3147440769e-01 6.5270845931e+04 2.6789553120e+01 4.2638717299e+09 3.5054221258e+06 2.0313266246e+07 3.6237595778e+04 -3.4724735151e+02 1.9507482735e-01 -1.0739845720e+05 9.9255991352e+01 2.0896364932e+02 8.5766358683e-02 1.8335711276e-03 1.5598939233e-03 8.2931900859e-03 1.1446032076e-02 4.5309424258e+01 5.3598683576e+01 7.3926512681e+00 3.8655227281e+01 2.6335651079e+01 -1.7132335741e-01 1.0944874689e+00 8.9449262469e+02 8.6566069736e+02
