Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 7.0000000000e+01 -1.1033111898e+02 2.9167769454e-01 4.4580650068e+04 1.2142860966e+01 1.9882694959e+09 1.0811540410e+06 -4.9003822562e+06 1.1737281080e+04 -5.5949383757e+02 1.8424392679e-01 6.2017136156e+04 1.8379449380e+02 3.0594516095e+02 8.3333229707e-02 2.2867314108e-03 2.2011627019e-03 4.5205257464e-03 8.2829574523e-03 3.5782949699e+01 4.8987668308e+01 1.0144920433e+01 3.0781980470e+01 4.8591563031e+01 -3.3571340607e-01 7.2787373720e-01 1.0727013752e+03 1.7021950499e+03
3.0681700000e+02 7.0000000000e+01 -9.2783492583e+01 3.0061993645e-01 4.5268385246e+04 1.2695649674e+01 2.0501349573e+09 1.1509319249e+06 -4.1806576307e+06 1.2540206271e+04 -5.4887533853e+02 1.8525038253e-01 5.1221535472e+04 1.8143021113e+02 3.0129712129e+02 8.4499649786e-02 2.3028532215e-03 2.1896380828e-03 4.7364168613e-03 8.4834085783e-03 3.6039748312e+01 4.9193482036e+01 9.7772255800e+00 3.0902458888e+01 4.7509293154e+01 -3.1761122858e-01 7.4811278913e-01 1.0561723969e+03 1.6358908071e+03
3.1348300000e+02 7.0000000000e+01 -7.5292923255e+01 3.0509730474e-01 4.5970353270e+04 1.3091397391e+01 2.1142565296e+09 1.2034583210e+06 -3.4404712372e+06 1.3085249119e+04 -5.3845729653e+02 1.8556279951e-01 4.0844916465e+04 1.7824960883e+02 2.9669630947e+02 8.4492918051e-02 2.3137157527e-03 2.1394586758e-03 4.9413393386e-03 8.5556480715e-03 3.6308200045e+01 4.9425733116e+01 9.3547088457e+00 3.1062542491e+01 4.5849211930e+01 -3.0050221150e-01 7.5433114609e-01 1.0417887133e+03 1.5554785472e+03
3.2015000000e+02 7.0000000000e+01 -5.7806002322e+01 2.9099147746e-01 4.6686002838e+04 1.2762780690e+01 2.1806423072e+09 1.1922492123e+06 -2.6766859235e+06 1.2900268814e+04 -5.2818074838e+02 1.7559040827e-01 3.0843887095e+04 1.6363482154e+02 2.9214825282e+02 7.9865995220e-02 2.3183507031e-03 1.9716651558e-03 5.1339954593e-03 8.1697520037e-03 3.6587870373e+01 4.9697316661e+01 8.4264496902e+00 3.1292819150e+01 4.1862030207e+01 -2.8482885801e-01 7.1669508491e-01 1.0289984918e+03 1.4045301206e+03
3.2681700000e+02 7.0000000000e+01 -4.0390719425e+01 3.0366484713e-01 4.7411684387e+04 1.3503370338e+01 2.2490033014e+09 1.2819619029e+06 -1.8917938828e+06 1.3909933083e+04 -5.1807691331e+02 1.8076945673e-01 2.1242967906e+04 1.6423426784e+02 2.8767664209e+02 8.1933478763e-02 2.3052411737e-03 1.9900605057e-03 5.3077219826e-03 8.4705776283e-03 3.6878182599e+01 4.9785244129e+01 8.3332605341e+00 3.1538071841e+01 4.1488424020e+01 -2.7623129288e-01 7.4864116304e-01 1.0167785315e+03 1.3795222295e+03
3.3348300000e+02 7.0000000000e+01 -2.3238098862e+01 3.0420396473e-01 4.8141862198e+04 1.3847261918e+01 2.3188522888e+09 1.3334833960e+06 -1.0944645915e+06 1.4333480253e+04 -5.0828104170e+02 1.7838535825e-01 1.2130271031e+04 1.5896904928e+02 2.8331338958e+02 8.1490713720e-02 2.2802982934e-03 1.9262974272e-03 5.4742122790e-03 8.5083281231e-03 3.7178538719e+01 4.9690270167e+01 7.9482687403e+00 3.1753706032e+01 3.9463708791e+01 -2.7298923016e-01 7.5254647736e-01 1.0044864942e+03 1.3101545909e+03
3.4015000000e+02 7.0000000000e+01 -6.3795340923e+00 2.9379773451e-01 4.8876297757e+04 1.3729727430e+01 2.3901872921e+09 1.3426522670e+06 -2.8637376553e+05 1.4283403024e+04 -4.9882212390e+02 1.6965467859e-01 3.5036924108e+03 1.4772801612e+02 2.7905620487e+02 7.8389031217e-02 2.2632736519e-03 1.8023079112e-03 5.6409720127e-03 8.2717752192e-03 3.7488468248e+01 4.9706339396e+01 7.3304655559e+00 3.1949324993e+01 3.6515076113e+01 -2.6617894577e-01 7.2890516656e-01 9.9415072279e+02 1.2110739480e+03
3.4681700000e+02 7.0000000000e+01 1.0292095954e+01 3.0079143665e-01 4.9616967793e+04 1.4205232517e+01 2.4632180166e+09 1.4107391862e+06 5.3731434997e+05 1.5084682442e+04 -4.8961295496e+02 1.7131604456e-01 -4.7129165052e+03 1.4547866869e+02 2.7489052167e+02 7.8700572619e-02 2.2472551135e-03 1.7892922312e-03 5.7854665529e-03 8.3953627434e-03 3.7807363467e+01 4.9826473302e+01 7.1939992265e+00 3.2158857591e+01 3.5821171068e+01 -2.5839468414e-01 7.4704924075e-01 9.8703077059e+02 1.1820669996e+03
3.5348300000e+02 7.0000000000e+01 2.6773659737e+01 3.0209431755e-01 5.0361979116e+04 1.4473871465e+01 2.5377846882e+09 1.4582972924e+06 1.3761848971e+06 1.5581025923e+04 -4.8063759198e+02 1.6991026351e-01 -1.2538927430e+04 1.4105468132e+02 2.7082403034e+02 7.7833958747e-02 2.2239497448e-03 1.7417532930e-03 5.9228616238e-03 8.3908227639e-03 3.8134613534e+01 4.9885960770e+01 6.9536316070e+00 3.2400758830e+01 3.4446407068e+01 -2.5395600683e-01 7.5142136008e-01 9.7972048328e+02 1.1346459972e+03
3.6015000000e+02 7.0000000000e+01 4.3038768765e+01 2.9637513906e-01 5.1111035248e+04 1.4537258364e+01 2.6138871345e+09 1.4871035874e+06 2.2288310617e+06 1.5751168582e+04 -4.7191943634e+02 1.6429405532e-01 -1.9978486670e+04 1.3323697857e+02 2.6685497748e+02 7.5900238267e-02 2.2069690108e-03 1.6594865339e-03 6.0957771163e-03 8.2733668417e-03 3.8469762099e+01 4.9979229695e+01 6.5887212656e+00 3.2679374529e+01 3.2401054590e+01 -2.4677378586e-01 7.3866776234e-01 9.6962927170e+02 1.0645024028e+03
3.6681700000e+02 7.0000000000e+01 5.9145048540e+01 3.0060644600e-01 5.1866912627e+04 1.5002902306e+01 2.6918277642e+09 1.5577904288e+06 3.0981412972e+06 1.6456275185e+04 -4.6342883597e+02 1.6424082773e-01 -2.7073026341e+04 1.3002425671e+02 2.6296599257e+02 7.6064930348e-02 2.1970703981e-03 1.6358693117e-03 6.2857993194e-03 8.3841869279e-03 3.8812216243e+01 5.0164057502e+01 6.4750046833e+00 3.2979107791e+01 3.1475180940e+01 -2.3602244233e-01 7.4923440923e-01 9.5928317545e+02 1.0263632012e+03
3.7348300000e+02 7.0000000000e+01 7.5125555660e+01 3.0252925160e-01 5.2630028865e+04 1.5319594697e+01 2.7716728162e+09 1.6132554819e+06 3.9857343934e+06 1.7024190153e+04 -4.5513694182e+02 1.6323604166e-01 -3.3851597297e+04 1.2618512502e+02 2.5915308151e+02 7.5434504958e-02 2.1848515801e-03 1.5997575287e-03 6.4589808438e-03 8.4062643841e-03 3.9161391831e+01 5.0361971694e+01 6.3328191118e+00 3.3274991731e+01 3.0401169558e+01 -2.2616118293e-01 7.5340861565e-01 9.5089419756e+02 9.8507517361e+02
3.8015000000e+02 7.0000000000e+01 9.0998619454e+01 3.0063271806e-01 5.3400585905e+04 1.5474263215e+01 2.8534823462e+09 1.6537024060e+06 4.8927619736e+06 1.7410184604e+04 -4.4702745919e+02 1.5999031277e-01 -4.0333057266e+04 1.2069659238e+02 2.5541356764e+02 7.4012985201e-02 2.1768012443e-03 1.5470329222e-03 6.6355247221e-03 8.3430192721e-03 3.9516878020e+01 5.0613792440e+01 6.1360732410e+00 3.3563011336e+01 2.9134917206e+01 -2.1405212514e-01 7.4787755912e-01 9.4328811509e+02 9.3803154350e+02
3.8681700000e+02 7.0000000000e+01 1.0681436239e+02 3.0455617549e-01 5.4180500620e+04 1.5887914975e+01 2.9374984361e+09 1.7230146687e+06 5.8222429165e+06 1.8145676650e+04 -4.3906957864e+02 1.5962976833e-01 -4.6547174800e+04 1.1759833557e+02 2.5173695341e+02 7.3819460249e-02 2.1717692861e-03 1.5261194058e-03 6.8144149926e-03 8.4191955701e-03 3.9878124792e+01 5.0919269825e+01 6.0771498163e+00 3.3857332547e+01 2.8506446341e+01 -2.0014834059e-01 7.5606778540e-01 9.3632568929e+02 9.1034100442e+02
3.9348300000e+02 7.0000000000e+01 1.2254208504e+02 3.0614766516e-01 5.4967283850e+04 1.6155244160e+01 3.0234748684e+09 1.7766504244e+06 6.7721586639e+06 1.8730158077e+04 -4.3126892062e+02 1.5859861516e-01 -5.2493092998e+04 1.1385800383e+02 2.4813367525e+02 7.2928109725e-02 2.1495257263e-03 1.4934817301e-03 6.9405950823e-03 8.4139685286e-03 4.0244597668e+01 5.1100245045e+01 5.9838780862e+00 3.4164675088e+01 2.7652532505e+01 -1.9509291148e-01 7.6055668369e-01 9.3192644500e+02 8.8183813717e+02
